Origin,Destination,Duration
Tuas,Jakarta,35.4
Tuas,Ameya,202.14
Tuas,Sical,141.82
Tuas,Baranagar,125.67
Tuas,Laem Chabang,64.05
Tuas,Thai Connectivity,64.05
Tuas,Cang Container Quoc Te,52.09
Tuas,Tan Cang Que Vo,107.04
Tuas,Qinzhou,108.85
Tuas,Guang Zhou,117.77
Tuas,Fuzhou,145.48
Tuas,DingShuZhen,177.49
Tuas,TianJin,225.09
Tuas,Dalian,212.98
Tuas,Hanjin Incheon,211.21
Tuas,Busan,214.43
Tuas,Hibikimachi,211.91
Jurong,Jakarta,35.4
Jurong,Ameya,202.14
Jurong,Sical,141.82
Jurong,Baranagar,125.67
Jurong,Laem Chabang,64.05
Jurong,Thai Connectivity,64.05
Jurong,Cang Container Quoc Te,52.09
Jurong,Tan Cang Que Vo,107.04
Jurong,Qinzhou,108.85
Jurong,Guang Zhou,117.77
Jurong,Fuzhou,145.48
Jurong,DingShuZhen,177.49
Jurong,TianJin,225.09
Jurong,Dalian,212.98
Jurong,Hanjin Incheon,211.21
Jurong,Busan,214.43
Jurong,Hibikimachi,211.91
Pasir Panjang,Jakarta,35.4
Pasir Panjang,Ameya,202.14
Pasir Panjang,Sical,141.82
Pasir Panjang,Baranagar,125.67
Pasir Panjang,Laem Chabang,64.05
Pasir Panjang,Thai Connectivity,64.05
Pasir Panjang,Cang Container Quoc Te,52.09
Pasir Panjang,Tan Cang Que Vo,107.04
Pasir Panjang,Qinzhou,108.85
Pasir Panjang,Guang Zhou,117.77
Pasir Panjang,Fuzhou,145.48
Pasir Panjang,DingShuZhen,177.49
Pasir Panjang,TianJin,225.09
Pasir Panjang,Dalian,212.98
Pasir Panjang,Hanjin Incheon,211.21
Pasir Panjang,Busan,214.43
Pasir Panjang,Hibikimachi,211.91
Brani,Jakarta,35.4
Brani,Ameya,202.14
Brani,Sical,141.82
Brani,Baranagar,125.67
Brani,Laem Chabang,64.05
Brani,Thai Connectivity,64.05
Brani,Cang Container Quoc Te,52.09
Brani,Tan Cang Que Vo,107.04
Brani,Qinzhou,108.85
Brani,Guang Zhou,117.77
Brani,Fuzhou,145.48
Brani,DingShuZhen,177.49
Brani,TianJin,225.09
Brani,Dalian,212.98
Brani,Hanjin Incheon,211.21
Brani,Busan,214.43
Brani,Hibikimachi,211.91
Jakarta,Tuas,35.4
Jakarta,Jurong,35.4
Jakarta,Pasir Panjang,35.4
Jakarta,Brani,35.4
Jakarta,Ameya,227.33
Jakarta,Sical,167.0
Jakarta,Baranagar,161.07
Jakarta,Laem Chabang,99.45
Jakarta,Thai Connectivity,99.45
Jakarta,Cang Container Quoc Te,87.49
Jakarta,Tan Cang Que Vo,130.44
Jakarta,Qinzhou,132.26
Jakarta,Guang Zhou,141.18
Jakarta,Fuzhou,168.66
Jakarta,DingShuZhen,200.67
Jakarta,TianJin,248.26
Jakarta,Dalian,236.16
Jakarta,Hanjin Incheon,234.38
Jakarta,Busan,237.6
Jakarta,Hibikimachi,235.08
Ameya,Tuas,202.14
